2011-11-28 02:27:59.0	2011-11-28 10:18:11.0	Sleeping
2011-11-28 10:21:24.0	2011-11-28 10:23:36.0	Toileting
2011-11-28 10:25:44.0	2011-11-28 10:33:00.0	Showering
2011-11-28 10:34:23.0	2011-11-28 10:43:00.0	Breakfast
2011-11-28 10:49:48.0	2011-11-28 10:51:13.0	Grooming
2011-11-28 10:51:41.0	2011-11-28 13:05:07.0	Spare_Time/TV
2011-11-28 13:06:04.0	2011-11-28 13:06:31.0	Toileting
2011-11-28 13:09:31.0	2011-11-28 13:29:09.0	Leaving
2011-11-28 13:38:40.0	2011-11-28 14:21:40.0	Spare_Time/TV
2011-11-28 14:22:38.0	2011-11-28 14:27:07.0	Toileting
2011-11-28 14:27:11.0	2011-11-28 15:04:00.0	Lunch
2011-11-28 15:04:59.0	2011-11-28 15:06:29.0	Grooming
2011-11-28 15:07:01.0	2011-11-28 20:20:00.0	Spare_Time/TV
2011-11-28 20:20:55.0	2011-11-28 20:20:59.0	Snack
2011-11-28 20:21:15.0	2011-11-29 02:06:00.0	Spare_Time/TV
2011-11-29 02:16:00.0	2011-11-29 11:31:00.0	Sleeping
2011-11-29 11:31:55.0	2011-11-29 11:36:55.0	Toileting
2011-11-29 11:37:38.0	2011-11-29 11:48:54.0	Grooming
2011-11-29 11:49:57.0	2011-11-29 11:51:13.0	Showering
2011-11-29 12:08:28.0	2011-11-29 12:18:00.0	Breakfast
2011-11-29 12:19:01.0	2011-11-29 12:22:00.0	Grooming
2011-11-29 12:22:38.0	2011-11-29 12:24:59.0	Spare_Time/TV
2011-11-29 13:25:29.0	2011-11-29 13:25:32.0	Snack
2011-11-29 13:25:38.0	2011-11-29 15:12:26.0	Spare_Time/TV
2011-11-29 15:13:28.0	2011-11-29 15:13:57.0	Toileting
2011-11-29 15:14:33.0	2011-11-29 15:45:54.0	Lunch
2011-11-29 15:49:51.0	2011-11-29 15:50:54.0	Grooming
2011-11-29 15:52:04.0	2011-11-29 16:17:58.0	Spare_Time/TV
2011-11-29 16:18:00.0	2011-11-29 16:31:27.0	Toileting
2011-11-29 16:34:17.0	2011-11-29 17:08:07.0	Spare_Time/TV
2011-11-29 17:08:58.0	2011-11-29 17:09:29.0	Toileting
2011-11-29 17:43:00.0	2011-11-29 18:57:22.0	Spare_Time/TV
2011-11-29 19:02:15.0	2011-11-29 20:23:38.0	Leaving
2011-11-29 20:28:00.0	2011-11-30 01:19:47.0	Spare_Time/TV
2011-11-30 01:22:33.0	2011-11-30 10:07:31.0	Sleeping
2011-11-30 10:11:07.0	2011-11-30 10:13:59.0	Toileting
2011-11-30 10:14:45.0	2011-11-30 10:18:33.0	Showering
2011-11-30 10:22:59.0	2011-11-30 10:35:00.0	Breakfast
2011-11-30 10:39:30.0	2011-11-30 10:41:13.0	Grooming
2011-11-30 10:41:38.0	2011-11-30 13:04:59.0	Spare_Time/TV
2011-11-30 13:05:27.0	2011-11-30 13:05:31.0	Snack
2011-11-30 13:05:38.0	2011-11-30 14:09:34.0	Spare_Time/TV
2011-11-30 14:11:16.0	2011-11-30 14:11:48.0	Toileting
2011-11-30 14:13:45.0	2011-11-30 14:34:09.0	Spare_Time/TV
2011-11-30 14:39:42.0	2011-11-30 15:00:24.0	Lunch
2011-11-30 15:11:48.0	2011-11-30 16:39:11.0	Spare_Time/TV
2011-11-30 16:40:01.0	2011-11-30 16:40:24.0	Toileting
2011-11-30 16:41:05.0	2011-11-30 16:41:09.0	Snack
2011-11-30 16:41:15.0	2011-11-30 18:00:38.0	Spare_Time/TV
2011-11-30 18:01:44.0	2011-11-30 18:01:47.0	Toileting
2011-11-30 18:01:54.0	2011-11-30 18:43:20.0	Spare_Time/TV
2011-11-30 18:57:08.0	2011-11-30 18:57:34.0	Toileting
2011-11-30 18:57:39.0	2011-11-30 19:37:10.0	Spare_Time/TV
2011-11-30 19:37:36.0	2011-11-30 19:38:01.0	Toileting
2011-11-30 19:46:44.0	2011-11-30 20:05:12.0	Leaving
2011-11-30 20:13:39.0	2011-11-30 20:13:48.0	Grooming
2011-11-30 20:14:03.0	2011-12-01 01:34:27.0	Spare_Time/TV
2011-12-01 01:37:52.0	2011-12-01 10:50:45.0	Sleeping
2011-12-01 10:55:03.0	2011-12-01 10:55:32.0	Grooming
2011-12-01 10:58:37.0	2011-12-01 11:12:22.0	Showering
2011-12-01 11:17:05.0	2011-12-01 11:29:49.0	Breakfast
2011-12-01 11:30:06.0	2011-12-01 14:29:02.0	Spare_Time/TV
2011-12-01 14:29:37.0	2011-12-01 14:55:02.0	Lunch
2011-12-01 15:09:00.0	2011-12-01 16:26:17.0	Spare_Time/TV
2011-12-01 16:26:35.0	2011-12-01 16:27:04.0	Toileting
2011-12-01 16:27:03.0	2011-12-01 16:46:40.0	Spare_Time/TV
2011-12-01 17:17:23.0	2011-12-01 17:27:13.0	Grooming
2011-12-01 17:29:29.0	2011-12-01 18:49:51.0	Leaving
2011-12-01 18:55:03.0	2011-12-01 19:10:34.0	Spare_Time/TV
2011-12-01 19:28:51.0	2011-12-01 19:29:59.0	Toileting
2011-12-01 19:30:01.0	2011-12-01 23:52:52.0	Spare_Time/TV
2011-12-01 23:53:00.0	2011-12-01 23:53:28.0	Grooming
2011-12-01 23:54:32.0	2011-12-02 01:18:32.0	Spare_Time/TV
2011-12-02 01:18:44.0	2011-12-02 01:18:57.0	Grooming
2011-12-02 01:19:09.0	2011-12-02 02:08:17.0	Spare_Time/TV
2011-12-02 02:09:33.0	2011-12-02 02:13:56.0	Grooming
2011-12-02 02:15:55.0	2011-12-02 12:15:19.0	Sleeping
2011-12-02 12:16:00.0	2011-12-02 12:20:40.0	Toileting
2011-12-02 12:20:41.0	2011-12-02 13:20:59.0	Grooming
2011-12-02 12:21:19.0	2011-12-02 12:25:40.0	Showering
2011-12-02 12:27:47.0	2011-12-02 13:35:49.0	Breakfast
2011-12-02 12:37:47.0	2011-12-02 14:46:29.0	Spare_Time/TV
2011-12-02 14:47:00.0	2011-12-02 15:20:00.0	Lunch
2011-12-02 15:24:05.0	2011-12-02 15:55:12.0	Spare_Time/TV
2011-12-02 15:56:02.0	2011-12-02 15:57:55.0	Grooming
2011-12-02 15:58:00.0	2011-12-02 16:36:05.0	Spare_Time/TV
2011-12-02 16:37:27.0	2011-12-02 16:47:27.0	Toileting
2011-12-02 16:47:39.0	2011-12-02 19:39:08.0	Spare_Time/TV
2011-12-02 19:40:44.0	2011-12-02 19:40:50.0	Snack
2011-12-02 19:41:14.0	2011-12-02 21:26:09.0	Spare_Time/TV
2011-12-02 21:27:09.0	2011-12-02 21:44:37.0	Toileting
2011-12-02 21:46:31.0	2011-12-03 01:41:08.0	Spare_Time/TV
2011-12-03 01:47:02.0	2011-12-03 11:56:20.0	Sleeping
2011-12-03 11:57:15.0	2011-12-03 11:59:15.0	Toileting
2011-12-03 11:59:33.0	2011-12-03 12:01:59.0	Grooming
2011-12-03 12:03:36.0	2011-12-03 12:07:26.0	Showering
2011-12-03 12:10:35.0	2011-12-03 12:19:30.0	Breakfast
2011-12-03 12:21:30.0	2011-12-03 13:28:36.0	Spare_Time/TV
2011-12-03 13:29:00.0	2011-12-03 13:29:59.0	Grooming
2011-12-03 13:29:48.0	2011-12-03 14:01:20.0	Spare_Time/TV
2011-12-03 14:11:10.0	2011-12-03 14:14:43.0	Grooming
2011-12-03 14:18:11.0	2011-12-03 17:48:37.0	Leaving
2011-12-03 17:50:14.0	2011-12-03 23:53:24.0	Spare_Time/TV
2011-12-03 23:54:00.0	2011-12-03 23:54:51.0	Toileting
2011-12-03 23:55:18.0	2011-12-04 03:16:13.0	Spare_Time/TV
2011-12-04 03:19:17.0	2011-12-04 12:37:49.0	Sleeping
2011-12-04 12:39:45.0	2011-12-04 12:45:44.0	Toileting
2011-12-04 12:46:11.0	2011-12-04 12:47:28.0	Grooming
2011-12-04 12:50:56.0	2011-12-04 12:54:55.0	Showering
2011-12-04 12:56:08.0	2011-12-04 12:59:48.0	Breakfast
2011-12-04 13:00:53.0	2011-12-04 13:58:10.0	Spare_Time/TV
2011-12-04 14:00:12.0	2011-12-04 14:03:42.0	Toileting
2011-12-04 14:11:50.0	2011-12-04 16:31:01.0	Leaving
2011-12-04 16:34:00.0	2011-12-04 17:25:39.0	Spare_Time/TV
2011-12-04 17:27:03.0	2011-12-04 17:27:08.0	Snack
